id,name,addr,city,ctry,code
1,1 MOBILE LIMITED,30 CITY ROAD,LONDON,UK,EC1Y 2AB
2,1 TECH LTD,57 CHARTERHOUSE STREET,LONDON,UK,EC1M 6HA
3,23 SNAPS LIMITED,16 BOWLING GREEN LANE,LONDON,UK,EC1R 0BD
4,2E2 SERVICES LIMITED,200 200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
5,2E2 UK LIMITED,200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
6,40 50 MEDIA LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
7,4D DATA CENTRES LIMITED,30 CITY ROAD,LONDON,UK,EC1 2AB
8,4GETMOBILE LIMITED,152 KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
9,4SL CONSULTING LIMITED,4 SNOW HILL ,LONDON,UK,EC1A 2DJ
10,4TC SERVICES LIMITED,355 GOSWELL ROAD ,LONDON,UK,EC1V 7JL
11,A-INFINITY LIMITED,"AKIN PALMER LLP 3, ANGEL GATE 326 CITY ROAD",LONDON,UK,EC1V 2PT
12,A-TEK SOLUTIONS LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
13,A.I. TALENT LTD,LONGBOW HOUSE CHISWELL STREET,LONDON,UK,EC1Y 4TW
14,AAA CONSULT LTD,2ND FLOOR 145-157 ST. JOHN STREET,LONDON,UK,EC1V 4PY
15,AARDVARK UPRISING LIMITED,UNIT 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
16,AB TECHSYS LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
17,ABLINX LIMITED,"7TH FLOOR, 16 ST. MARTIN'S LE GRAND",LONDON,UK,EC1A 4EE
18,ABSU LIMITED,THIRD FLOOR 111 CHARTERHOUSE STREET,LONDON,UK,EC1M 6AW
19,ABV SOLUTIONS LTD,C/O CAYOS CONSULTING SERVICES 40 BOWLING GREEN LANE,LONDON,UK,EC1R 0NE
20,ACTION FOR THE FUTURE LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
21,ACTIVATED THINKING LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
22,ACTIVON PROJECTS LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,CITY OF LONDON|LONDON,UK,EC1A 2BN
23,ACTURIS LIMITED,COURTYARD SUITE 100 HATTON GARDEN,LONDON,UK,EC1N 8NX
24,AD PEPPER MEDIA UK LIMITED,20 FARRINGDON ROAD ,LONDON,UK,EC1M 3HE
25,ADCOMPASS LTD.,6-8 SYCAMORE STREET ,LONDON,UK,EC1Y 0SW
26,ADD TO CART LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
27,ADFORM LONDON LIMITED,GATE HOUSE 1 ST JOHN'S SQUARE,LONDON,UK,EC1M 4DH
28,ADLUDIO LIMITED,1 HARDWICK STREET HARDWICK STREET,LONDON,UK,EC1R 4RB
29,AFIN-IT GROUP LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
30,AFTER THE FLOOD LIMITED,140-142 ST. JOHN STREET ,LONDON,UK,EC1V 4UB
31,AGILE ALLIANCE LIMITED,24 INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
32,AGM SOLUTIONS LIMITED,152 KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
33,AGOC DIGITAL PRIVATE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
34,AI CONTROLPOINT LIMITED,LONGBOW HOUSE CHISWELL STREET,LONDON,UK,EC1Y 4TW
35,AIM ITC LTD,UNIT/OFFICE 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PG
36,ALCHEMYWORKS LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
37,ALCHERA TECHNOLOGIES LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT CITY OF LONDON,LONDON,UK,EC1A 2BN
38,ALMARADIX LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
39,ALTIASERVICES LTD.,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
40,ALTIATECH LTD,152 CITY ROAD ,LONDON,UK,EC1V 2NX
41,AM TECHNICAL LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
42,AMBIENCE INVESTMENT LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
43,AMISSION LTD,LANDON SEAMER 335 CITY ROAD,LONDON,UK,EC1V 1LJ
44,AMLEU SOFTWARE DEVELOPMENT UK LIMITED,1 CHARTERHOUSE MEWS ,LONDON,UK,EC1M 6BB
45,ANGELLIST LIMITED,2ND FLOOR WHITE BEAR YARD CLERKENWELL ROAD,LONDON,UK,EC1R 5DF
46,ANGLO PAK SOLUTION LIMITED,"KEMP HOUSE,152 CITY ROAD",LONDON,UK,EC1V 2NX
47,ANOMALIES LIMITED,123 ALDERSGATE STREET ,LONDON,UK,EC1A 4JQ
48,ANVIL RECRUITMENT LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
49,APP-ALACARTE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
50,APPDRAGON LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
51,ARCHON DEVELOPMENT UK LTD,SUITE A 6 HONDURAS STREET,LONDON,UK,EC1Y 0TH
52,ARCTOUS LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
53,ARCTREE CONSULTING LIMITED,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
54,AREZA LIMITED,24 HOLBORN VIADUCT ,LONDON,UK,EC1A 2BN
55,ARGUS INTELLIGENCE LIMITED,152 KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
56,ARKA ASSOCIATES LIMITED,24 INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
57,ARROW DIGITAL MEDIA PRIVATE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
58,ARTANEON LTD,ARTANEON LTD UNIT 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PG
59,ARTESAN STUDIOS LIMITED,THE DRILL HALL 57A FARRINGDON ROAD,LONDON,UK,EC1M 3JB
60,ARTLINES MEDIA LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
61,ARUBACLOUD LIMITED,17-18 AYLESBURY STREET ,LONDON,UK,EC1R 0DB
62,ASITY LTD,INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
63,ASSERTIVE MEDIA SOLUTIONS LTD,INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
64,ASSET ICT LTD,OFFICE 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
65,ATRI SERVICES LTD,KEMP HOUSE 152-160 CITY RD,LONDON,UK,EC1V 2NX
66,ATTICMEDIA LIMITED,WESTBURY 2ND FLOOR 145-157 ST JOHN STREET,LONDON,UK,EC1V 4PY
67,AUDEZA LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
68,AVENIR TECHNOLOGY LIMITED,SUITE A 6 HONDURAS STREET,LONDON,UK,EC1Y 0TH
69,AYIMA LIMITED,SUITE 1A 1 LINDSEY STREET,LONDON,UK,EC1A 9HP
70,AYSCIO LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
71,AZUROS LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
72,BABY BEAUTY GROUP LTD.,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
73,BACKUP AND RUNNING PLC,LONGBOW HOUSE CHISWELL STREET,LONDON,UK,EC1Y 4TW
74,BCSG LTD,130 OLD STREET ,LONDON,UK,EC1V 9BD
75,BEDBUG STUDIO LTD,1 CHARTERHOUSE MEWS ,LONDON,UK,EC1M 6BB
76,BEDROOM LONDON LIMITED,15 BOWLING GREEN LANE ,LONDON,UK,EC1R 0BD
77,BEMOIR LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
78,BEN YOUNG CONSULTANCY LTD,SUITE 34 67-68 HATTON GARDEN,LONDON,UK,EC1N 8JY
79,BETTER CITIES LIMITED,URBAN INNOVATION CENTRE 1 SEKFORDE STREET,LONDON,UK,EC1R 0BE
80,BETTER WEB SOLUTIONS LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
81,BIFF TRADING LIMITED,24 GREVILLE STREET ,LONDON,UK,EC1N 8SS
82,BIOSCITEX LTD.,152 CITY RD ,LONDON,UK,EC1V 2NX
83,BITOK LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
84,BIZ ANALYSIS SERVICES LTD,108 WORCESTER POINT CENTRAL STREET,LONDON,UK,EC1V 8BJ
85,BLAHTECH LIMITED,15 BOWLING GREEN LANE ,LONDON,UK,EC1R 0BD
86,BLANCHE SYSTEMS LIMITED,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
87,BLINKIT LIMITED,CENTRAL HOUSE 142 CENTRAL STREET,LONDON,UK,EC1V 8AR
88,BLUE VISION CONSULTING LTD,88-90 HATTON GARDEN ,LONDON,UK,EC1N 8PG
89,BLUESHED.CO.UK LIMITED,28 ELY PLACE 3RD FLOOR,LONDON,UK,EC1N 6TD
90,BM STUDIOS LIMITED,KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
91,BODOR LIMITED,SUITE 36 88-90  HATTON GARDEN HOLBORN,LONDON,UK,EC1N 8PN
92,BOENISCH LIMITED,SUITE 48 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
93,BOLYX INVESTMENTS LIMITED,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
94,BONDSMEN GROUP LTD,"INTERNATIONAL HOUSE, 24 HOLBORN VIADUCT CITY OF LONDON",LONDON,UK,EC1A 2BN
95,BORDER CAPITAL LIMITED,GRESHAM HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
96,BORNE DIGITAL LIMITED,63-66 (2ND FLOOR) HATTON GARDEN,LONDON,UK,EC1N 8LE
97,BOWATER DATA SERVICES LIMITED,200 ALDERSGATE ,LONDON,UK,EC1A 4HD
98,BRADLINK LTD,145-157 ST. JOHN STREET ,LONDON|ENGLAND,UK,EC1V 4PW
99,BRAINSHOWCASE LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
100,BRAVOSOLUTION TECHNOLOGIES LTD,22-24 ELY PLACE ,LONDON,UK,EC1N 6TE
101,BRILLIO UK LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
102,BRISQQ LTD.,2 ANGEL SQUARE 2 ANGEL SQUARE,LONDON,UK,EC1V 1NY
103,BROADBAND &  HOSTING UK LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
104,BT CORNWALL LIMITED,81 NEWGATE STREET ,LONDON,UK,EC1A 7AJ
105,BT LANCASHIRE SERVICES LIMITED,81 NEWGATE STREET ,LONDON,UK,EC1A 7AJ
106,BURST TIMES LIMITED,ROOM 2 FINSBURY BUSINESS CENTRE 40 BOWLING GREEN LANE,LONDON,UK,EC1R 0NE
107,BUSINESS CENTRIC SERVICES GROUP LIMITED,130 OLD STREET ,LONDON,UK,EC1V 9BD
108,BYNDER LIMITED,45 LEATHER LANE ,LONDON,UK,EC1N 7TJ
109,CABLETECH NETWORKS LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
110,CAIMAN COMMUNICATIONS LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
111,CALLSQUAD LIMITED,UNIT 1.02 27/31 CLERKENWELL CLOSE,LONDON,UK,EC1R 0AT
112,CAMFOLIO LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
113,CAPILLA LIMITED,101 CLERKENWELL ROAD ,LONDON,UK,EC1R 5BX
114,CARRINGTON SOLUTIONS LTD,BM ADVISORY 82 ST JOHN STREET,LONDON,UK,EC1M 4JN
115,CASE ANALYSIS SOLUTIONS LIMITED,SUITE 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PG
116,CASH ON MOBILE LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
117,CATIPH SERVICES LIMITED,80-83 LONG LANE ,LONDON,UK,EC1A 9ET
118,CEE CHANGERS LTD,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
119,CEELOGIC LIMITED,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
120,CELERITY INFORMATION SERVICES LIMITED,82 ST JOHN STREET,LONDON,UK,EC1M 4JN
121,CENTRILLIUM LIMITED,2ND FLOOR 145-157 ST JOHN STREET,LONDON,UK,EC1V 4PY
122,CHANNEL-C LIMITED,1-3 DUFFERIN STREET ,LONDON,UK,EC1Y 8NA
123,CHERRYPICKIT LTD,5 ST. JOHN'S LANE ,LONDON,UK,EC1M 4BH
124,CHI DIGITAL DESIGN LTD.,"INTERNATIONAL HOUSE 24 HOLBORN VIADUCT, CITY OF LONDON",LONDON,UK,EC1A 2BN
125,CHOCOLATEY LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
126,CIRCUIT BAKERY LTD,15 BOWLING GREEN LANE ,LONDON,UK,EC1R 0BD
127,CISILION (GROUP) LIMITED,150 ALDERSGATE STREET ,LONDON,UK,EC1A 4AB
128,CISILION LIMITED,150 ALDERSGATE STREET ,LONDON,UK,EC1A 4AB
129,CLEAR CONSULTING LIMITED,THE CHEMISTRY LAB 57 KINGSWAY PLACE SANS WALK,LONDON,UK,EC1R 0LY
130,CLEBBR LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
131,CLICK A SERVICE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
132,CLICK PERFORMANCE LIMITED,SUITE 1 6 OWEN STREET,LONDON,UK,EC1V 7JX
133,CLICK PROFITS LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
134,CLICKS2CUSTOMERS (UK) LIMITED,80-83 LONG LANE ,LONDON,UK,EC1A 9ET
135,CLICKUNI LTD,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
136,CLIENTWIRE LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
137,CLOUD VEND LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
138,CLOUDBIZ LIMITED,SUITE 36 88-90 HATTON GARDON,LONDON,UK,EC1N 8PG
139,CLOUDE-SCORM LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
140,CLOUDIFIE LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
141,CO-D LONDON LIMITED,FINSGATE 5-7 CRANWOOD STREET,LONDON,UK,EC1V 9EE
142,COBWEB OUTSOURCE LIMITED,130 OLD STREET ,LONDON,UK,EC1V 9BD
143,COGNITIVE FINANCE GROUP LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
144,COGNITIVE OPTIMUM LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
145,COLLABERA EUROPE LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
146,COLUX RECRUITMENT LIMITED,130 OLD STREET ,LONDON,UK,EC1V 9BD
147,COMMERA CAPITAL LTD,OFFICE 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PG
148,COMPIT COMPUTING LTD,82 ST. JOHN STREET ,LONDON,UK,EC1M 4JN
149,COMPOUND FREEDOM LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
150,COMPUSERVICES LTD,INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
151,COMPUTAGEEKS LIMITED,RAMON LEE AND PARTNERS KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2DW
152,COMPUTER TERRORISM (UK) LTD,2ND FLOOR 145-157 ST.JOHN STREET,LONDON,UK,EC1V 4PY
153,COMYOUCOM LTD,DEPARTMENT 16 101 CLERKENWELL ROAD,LONDON,UK,EC1R 5BX
154,CONCRETE MEDIA LIMITED,HARELLA HOUSE 2ND FLOOR 90-98 GOSWELL ROAD,LONDON,UK,EC1V 7DF
155,CONSERP LIMITED,30 CITY ROAD ,LONDON,UK,EC1Y 2AB
156,CONSULTING SPIRIT LIMITED,C/O GROSS KLEIN 5 ST. JOHN'S LANE,LONDON,UK,EC1M 4BH
157,CONSUMERTHINK UK LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
158,CONTEC-GLOBAL LIMITED,KLACO HOUSE 28-30 SAINT JOHNS SQUARE,LONDON,UK,EC1M 4DN
159,CONTORNO-INK LIMITED,EDWARD BALDRY INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
160,COOLEA DEVELOPERS LIMITED,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
161,CRAFTS AND LOOMS LIMITED,372 OLD STREET ,LONDON,UK,EC1V 9AU
162,CRASH MEDIA GROUP LIMITED,78 - 80 ST. JOHN STREET ,LONDON,UK,EC1M 4EH
163,CREATIVENERDS LTD,LOWER GROUND FLOOR 111 CHARTERHOUSE STREET,LONDON,UK,EC1M 6AW
164,CREDIT MARKET ANALYSIS LIMITED,MILTON GATE 60 CHISWELL STREET,LONDON,UK,EC1Y 4SA
165,CRESCENDO WORLDWIDE LIMITED,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
166,CRIBFINDER LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
167,CROGTECH LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
168,CROSSITE LTD,FINSGATE 5-7 CRANWOOD STREET,LONDON,UK,EC1V 9EE
169,CROWDSCORES LTD,28 ELY PLACE ,LONDON,UK,EC1N 6TD
170,CRUCIAL MEDIA GROUP LTD.,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
171,CSVCONSULT LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
172,CT CONSULTANTS LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
173,CTS TECHNOLOGY LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
174,CUBE 33 DESIGN LIMITED,C/O KLSA CHARTERED ACCOUNTANTS KLACO HOUSE 28-30 ST. JOHN'S SQUARE,LONDON,UK,EC1M 4DN
175,CUBE19 LIMITED,THIRD FLOOR 111 CHARTERHOUSE STREET,LONDON,UK,EC1M 6AW
176,CYBACORE LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
177,CYBERISK SECURITY SOLUTION (UK) LIMITED,1 CHARTERHOUSE MEWS ,LONDON,UK,EC1M 6BB
178,DALMARTIN LTD,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
179,DANDAN DIGITAL LTD,57-61 CHARTERHOUSE STREET ,LONDON,UK,EC1M 6HA
180,DAOTEC LTD,WESTBURY 2ND FLOOR 145-157 ST JOHN STREET,LONDON,UK,EC1V 4PY
181,DASHHOUND LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
182,DATA SYNOPSIS LIMITED,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
183,DAZZLE TECHNOLOGY LIMITED,50 FARRINGDON ROAD ,LONDON,UK,EC1M 3HE
184,DC INTELLIGENCE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
185,DEALPIPS LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
186,DECIMAL FACTOR SOFTWARE LIMITED,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
187,DECODE DIGITAL LTD,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
188,DEENATH LIMITED,GOUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
189,DELBRY LTD,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
190,DELIVER BRAND MARKETING LTD,34 NEW HOUSE 67-68 HATTON GARDENS,LONDON,UK,EC1N 8JY
191,DENTAL BUSINESS BUTLERS LIMITED,SUITE 36 88-90 HATTON GARDEN HOLBORN,LONDON,UK,EC1N 8PG
192,DESIGN AND PROSPER LIMITED,LEVEL 3 91-93 FARRINGDON RD,LONDON,UK,EC1M 3LN
193,DESIGN FOR ME LIMITED,80-83 LONG LANE ,LONDON,UK,EC1A 9ET
194,DESIGNOPOLY LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
195,DHPM LIMITED,2ND FLOOR 145-157 ST JOHN STREET,LONDON,UK,EC1V 4PY
196,DIG LONDON LIMITED,57-61 CHARTERHOUSE STREET ,LONDON,UK,EC1M 6HA
197,DIGIPOLIS LIMITED,15 BOWLING GREEN LANE ,LONDON,UK,EC1R 0BD
198,DIGITAL ACUMEN PLC,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2DW
199,DIGITAL CAPACITY LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
200,DIGITAL GOODS STORE LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON|CITY OF LONDON,UK,EC1A 2BN
201,DIGITAL HUB MEDIA PRIVATE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON|LONDON,UK,EC1V 2NX
202,DIGITAL INCLUSION TECHNOLOGY GROUP (CST PROGRAMMES) LIMITED,30 CITY ROAD ,LONDON,UK,EC1Y 2AB
203,DIGITAL INCLUSION TECHNOLOGY GROUP (IAP) LIMITED,30 CITY ROAD ,LONDON,UK,EC1Y 2AB
